Producto,Descripción,Partida / Lote,Certificado,Observaciones
V0415SMZ,"VOLANTE 250MM ENCASTRE CUADRADO DE 12,5M",,,
WEL1400030301,"16"" X 14"" #3000 SCH30 A105",,,
1010021100007,"Kit Palanca VM Bray 1-1,5",,,
118A100500-160,"MANOMETRO 4"" 316 1/2"" NPT RANGO 0-160KG",,,
15005011F00CSJG,"BALL VALV F15O RF #150 FS 0,5""",,,
15007511F00CSJG,"BALL VALV F15O RF #150 FS 0,75""",,,
15010011F00CSJG,"BALL VALV F15O RF #150 FS 1""",,,
15010011F01CSJG,"BALL VALV RF15O RF #150 FS 1""",,,
15010011F02CSJG,"BALL VALV F30O RF #300 FS 1""",,,
15010011F21CSJG,"BALL VALV RF30O RF #300 FS 1""",,,
15015011000CSJG,"BALL VALV F15 RF #150 FS 1,5""",,,
15015011F00CSJG,"BALL VALV F15O RF #150 FS 1,5""",,,
15015011F01CSJG,"BALL VALV RF15O RF #150 FS 1,5""",,,
15015011F02CSJG,"BALL VALV F30O RF #300 FS 1,5""",,,
150150VAIRO,"VALV ESFERICA 1-1/2"" RF PASO RED #150",,,
15020011F00CSJG,"BALL VALV F15O RF #150 FS 2""",,,
15020011F21CSJG,"BALL VALV RF30O RF #300 FS 2""",,,
15020011T02CSJG,"BALL VALV F30T RF #300 FS 2""",,,
15030011F00CSJG,"BALL VALV F15O RF #150 FS 3""",,,
15030011F01CSJG,"BALL VALV RF15O RF #150 FS 3""",,,
15030011F02CSJG,"BALL VALV F30O RF #300 FS 3""",,,
15030011F21CSJG,"BALL VALV RF30O RF #300 FS 3""",,,
15040011000CSJG,"BALL VALV F15 RF #150 FS 4""",,,
15040011002CSJG,"BALL VALV F30 RF #300 FS 4""",,,
15060011000CSJG,"BALL VALV F15 RF #150 FS 6""",,,
15060011F21SSJG,"BALL VALV RF30 #300 FS 6"" OM CF8M",,,
1506002180054,"ASIENTO PARA VALV F30 6""",,,
16005011A04BRON,"VALV.ESF. 1/2"" BRONCE M-H",,,
16007511A52SSRR,"BALL VALVE 500E BSPT 3/4"" #1000",,,
16012511A00SSRR,"BALL VAL S40RP NPT TFSEA 1,25""",,,
180050-FF01NN16,"BALL VALVE OM NPT/NPT 1/2"" #1000 CF8M",,,
180050-FF02NN05,"BALL VALVE OM PR NPT 1/2"" #2000 A105/316",,,
180050-FF03NN05,"BALL VALVE OM NPT/NPT 1/2"" #3000 A105",,,
180050-FF03NN16,"BALL VALVE OM NPT/NPT 1/2"" #3000 316L",,,
180050-FF05NN05,"BALL VALVE OM NPT/NPT 1/2"" #5000 A105",,,
180050-FF05NN16,"BALL VALVE OM NPT/NPT 1/2"" #5000 316L",,,
180050111C1SDPG,"NIPLE RED 3 1/2"" H X 2 7/8"" M API 4140",,,
180050FF02NN21R,"BALL VALVE NPT 1/2"" #2000 A216/316 RESOR",,,
180075-110M1CSR,GUARDACABO MN215 P/CABLE 6MM,,,
180075-FF01NN16,"BALL VALVE OM NPT/NPT 3/4"" #1000 CF8M",,,
180075-FF03NN05,"BALL VALVE OM NPT/NPT 3/4"" #3000 A105",,,
180075-FF05NN05,"BALL VALVE OM NPT/NPT 3/4"" #5000 A105",,,
180075-FF05NN16,"BALL VALVE OM NPT/NPT 3/4"" #5000 316L",,,
180075-FF05SN05,"BALL VALVE OM SW/NPT 3/4"" #5000 A105",,,
180100-110C1SDP,"VAL RET DISCO 1"", TOTAL INOX, PN40, WAFE",,,
180100-FF01NN16,"BALL VALVE OM NPT/NPT 1"" #1000 CF8M",,,
180100-FF03NN05,"BALL VALVE OM NPT/NPT 1"" #3000 A105",,,
180100-FF03NN16,"BALL VALVE OM NPT/NPT 1"" #3000 316L",,,
180100-FF03PN05,"BALL VALVE PL(100M)/ NPT 1"" #3000 A105",,,
180100-FF03SS05,"BALL VALVE OM SW/SW 1"" #3000 A105",,,
180100-FF05NN05,"BALL VALVE OM NPT/NPT 1"" #5000 A105",,,
180100-FF05NN16,"BALL VALVE OM NPT/NPT 1"" #5000 316L",,,
18010011F22CSJG,"BALL VALV F60 #600 FS 1"" OM",,,
180150-BF03NN05,"BALL VALVE BZ NPT 11/2"" #3000 A105",,,
180150-FF01NN16,"BALL VALVE OM NPT/NPT 1,5"" #1000 CF8M",,,
180150-FF03NN05,"BALL VALVE OM NPT/NPT 11/2"" #3000 A105",,,
180150-FF03NN16,"BALL VALVE OM NPT/NPT 1,5"" #3000 316",,,
18015011F22CSJG,"BALL VALV F60 #600 FS 1,5"" OM",,,
180200-0F01NN05,"BALL VALVE 4200 NPT/NPT 2"" #2000 A105",,,
180200-FF02NN05,"BALL VALVE OM PR NPT 2"" #2000 A105/316",,,
180200-FF03NN05,"BALL VALVE OM NPT/NPT 2"" #3000 A105",,,
180200-FF03NN16,"BALL VALVE OM NPT/NPT 2"" #3000 316",,,
180200-FF03SW05,"BALL VALVE OM SW/SW 2"" #3000 A105",,,
180200-FF05SS05,"BALL VALVE OM SW/SW 2"" #5000 A105",,,
180300300PSINPT,"VALVULA ESFERICA 3"" #300PSI ROSCADA H-H",,,
41040011F01466,"VALVULA MARIPOSA OM HP LUG #150 4""",,,
41060011F01466,"VALVULA MARIPOSA OM HP LUG #150 6""",,,
41080011F01466,"VALVULA MARIPOSA OM HP LUG #150 8""",,,
41100011F01466,"VALVULA MARIPOSA OM HP LUG #150 10""",,,
41120011F01466,"VALVULA MARIPOSA OM HP LUG #150 12""",,,
42140011F01466,"VALV MARIPOSA OM HP WAFER 14"" #300",,,
6A160024610536,KIT DE MONTAJE ACTUADOR S93-160,,,
921600-21903536,KIT DE REPARACION ACTUADOR 160,,,
930636-11350532,ACT NEUM BRAY 63 - 6R SE FC,,,
93255021931536,Spring Cartridge Kit 93/255,,,
ABOPLAPREAVE115,PRODUCTO DE PRUEBA,,,
AC0013-4IA19720,"CODO 90° 1/8"" BSPT AC A197 GALV",,,
